nit,fecha_corte,Patrimonio_Total,Activo_Total,Pasivo_Total,Tamano_Empresa,Razon_Endeudamiento,Insolvencia_Tecnica,Ano_Corte,Fuente,Pais_Matriz
801004314,2022-12-31,,,119348505.0,,,No,2022,SIREM - Supersociedades,COL
801004334,2018-12-31,7030932.0,,,,,No,2018,SIREM - Supersociedades,COL
801004334,2025-12-31,39380899.0,,,,,No,2025,SIREM - Supersociedades,COL
801004377,2018-12-31,5039786.0,,,,,No,2018,SIREM - Supersociedades,COL
801004422,2021-12-31,,1782177.0,,Pequeña,,No,2021,SIREM - Supersociedades,COL
801004661,2018-12-31,16854679.0,30369278.0,,Mediana,,No,2018,SIREM - Supersociedades,COL
801004673,2019-12-31,,26311202.0,,Mediana,,No,2019,SIREM - Supersociedades,COL
801005010,2016-12-31,,4934858.0,,Pequeña,,No,2016,SIREM - Supersociedades,COL
802000018,2021-12-31,,11289920.0,,Mediana,,No,2021,SIREM - Supersociedades,COL
802000047,2020-12-31,3848952.0,,,,,No,2020,SIREM - Supersociedades,COL
802000047,2021-12-31,,,913552.0,,,No,2021,SIREM - Supersociedades,COL
802000201,2016-12-31,,0.0,,Micro,,No,2016,SIREM - Supersociedades,COL
802000335,2021-12-31,,40583304.0,,Grande,,No,2021,SIREM - Supersociedades,COL
802000365,2021-12-31,,4705253.0,,Pequeña,,No,2021,SIREM - Supersociedades,COL
802000608,2016-12-31,,,52059768.0,,,No,2016,SIREM - Supersociedades,COL
802000608,2018-12-31,52072853.0,,,,,No,2018,SIREM - Supersociedades,COL
802000646,2016-12-31,,230853867.0,,Grande,,No,2016,SIREM - Supersociedades,COL
802000646,2020-12-31,,304580059.0,,Grande,,No,2020,SIREM - Supersociedades,COL
802000969,2016-12-31,,6746359.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
802000979,2016-12-31,,9800890.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
802000997,2016-12-31,579416.0,,3138809.0,,,No,2016,SIREM - Supersociedades,COL
802001034,2019-12-31,1835977.0,,,,,No,2019,SIREM - Supersociedades,COL
802001096,2016-12-31,335693.0,,,,,No,2016,SIREM - Supersociedades,COL
802001159,2019-12-31,,,159350930.0,,,No,2019,SIREM - Supersociedades,COL
802001232,2016-12-31,3005979.0,7407758.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
802001232,2018-12-31,,8354964.0,,Mediana,,No,2018,SIREM - Supersociedades,COL
802001704,2020-12-31,,,2976546.0,,,No,2020,SIREM - Supersociedades,COL
802001786,2020-12-31,,25594472.0,,Mediana,,No,2020,SIREM - Supersociedades,COL
802001831,2016-12-31,,0.0,,Micro,,No,2016,SIREM - Supersociedades,COL
802001870,2020-12-31,,,6737157.0,,,No,2020,SIREM - Supersociedades,COL
802001967,2020-12-31,4713196.0,7768479.0,,Mediana,,No,2020,SIREM - Supersociedades,COL
802002020,2017-12-31,689834.0,,3263627.0,,,No,2017,SIREM - Supersociedades,COL
802002020,2018-12-31,,,3902545.0,,,No,2018,SIREM - Supersociedades,COL
802002021,2018-12-31,,19862585.0,,Mediana,,No,2018,SIREM - Supersociedades,COL
802002258,2016-12-31,251057.0,,,,,No,2016,SIREM - Supersociedades,COL
802002373,2016-12-31,,,5317984.0,,,No,2016,SIREM - Supersociedades,COL
802002409,2016-12-31,,,2584442.0,,,No,2016,SIREM - Supersociedades,COL
802002409,2019-12-31,,7275831.0,,Mediana,,No,2019,SIREM - Supersociedades,COL
802002415,2020-12-31,9936224.0,,,,,No,2020,SIREM - Supersociedades,COL
802002451,2021-12-31,,31771597.0,,Mediana,,No,2021,SIREM - Supersociedades,COL
